campaign_id,name,target_types,keywords,color
infantry,Infantry,infantry,personnel;brigade;direction;pokrovsk;assault;positions;kherson;control,#94a3b8
civilian,Civilian,civilian,kherson;non;injuries;kharkiv;fake;casualties;year-old;injured,#94a3b8
logistics,Logistics,logistics,depot;air;tanker;donetsk;noel;oil;hit;ammunition,#ef4444
energy,Energy,energy,power;infrastructure;substation;outages;noel;plant;without;supply,#a3e635
strategic_industry,Strategic Industry,strategic industry|strategic_industry,oil;plant;refinery;fire;noel;hit;depot;conducted,#ef4444
air_defense,Air Defense,air defense|air_defense,down;donetsk;noel;radar;shot;out;defence;uavs,#ef4444
armored,Armored,armored,personnel;vehicles;pokrovsk;assault;brigade;losses;noel;general,#fb7185
strategic_infrastructure,Strategic Infrastructure,strategic infrastructure|strategic_infrastructure,power;launched;lviv;rybar;plant;ballistic;hit;oil,#f59e0b
strategic,Strategic,strategic,ballistic;lviv;launched;conducted;air;casualties;locations;been,#fb7185
heavy_armor,Heavy Armor,heavy armor|heavy_armor,direction;assault;position;brigade;conducted;tanks;positions;tank,#fb7185
residential,Residential,residential,kherson;non;fake;building;areas;fire;approximately;dnipro,#a3e635
civilian_infrastructure,Civilian Infrastructure,civilian infrastructure|civilian_infrastructure,kherson;dnipro;residential;building;gas;fire;kharkiv;resulting,#06b6d4
infrastructure,Infrastructure,infrastructure,kherson;air;water;noel;approximately;bridge;uav;without,#f97316
civilian_residential,Civilian Residential,civilian residential|civilian_residential,building;injured;high-rise;kharkiv;kherson;dnipro;injuries;buildings,#f97316
strategic_air_defense,Strategic Air Defense,strategic air defense|strategic_air_defense,radar;crimea;noel;targeted;launch;lviv;kapustin;yar,#38bdf8
artillery,Artillery,artillery,operators;zaporizhzhia;direction;brigade;self-propelled;conducted;fpv;grad,#eab308
air,Air,air,helicopter;down;combat;brigade;shot;successfully;engagement;aviation,#06b6d4
armor,Armor,armor,equipment;brigade;separate;assault;tank;direction;personnel;hit,#f59e0b
naval,Naval,naval,tanker;submarine;court;aircraft;che;marinera;petroliera;its,#eab308
strategic_defense,Strategic Defense,strategic defense|strategic_defense,cruise;crimea;out;donetsk;ballistic;air;occupied;zaporizhzhia,#38bdf8
leadership,Leadership,leadership,residence;putin;general;material;united;states;alekseev;gru,#eab308
political,Political,political,security;energy;service;will;support;zelensky;coalition;guarantees,#fb7185
command,Command,command,brigade;selimov;air;commander;motorized;rifle;vehicle;soldiers,#fb7185
operational_hq,Operational Hq,operational hq|operational_hq,control;defense;oreschnik;details;casualties;intelligence;kupyansk;base,#94a3b8
air_defence,Air Defence,air defence|air_defence,interception;suppression;out;shot;down;suppressed;engaged;engagement,#22c55e
advanced_systems,Advanced Systems,advanced systems|advanced_systems,radar;crimea;station;zaporizhzhia;kasta;donetsk;defense;targeted,#f97316
strategic_logistics,Strategic Logistics,strategic logistics|strategic_logistics,oil;port;tanker;donetsk;conducted;two;terminal;attacked,#fb7185
communications,Communications,communications,tower;kursk;atesh;conducted;unknown;fire;sabotage;brigade,#38bdf8
airspace,Airspace,airspace,flight;swedish;regione;unauthorized;sweden;made;national;incident,#06b6d4
terrain,Terrain,terrain,control;north;oleksandro-shultyne;zona;che;belgorod;towards;russi,#22c55e
vehicle,Vehicle,vehicle,fpv;soldiers;donetsk;incident;karymat;mac;unit;brigade,#a3e635
industry,Industry,industry,dnipro;launched;chemical;plant;chapayevsk;bunge;oil;kavpolit,#38bdf8
airfield,Airfield,airfield,explosions;crimea;explosion;saki;noel;been;sevastopol;occurred,#f97316
airborne,Airborne,airborne,uav;shot;down;reconnaissance;fpv;forpost-r;during;engagement,#a3e635
cultural,Cultural,cultural,world;monastery;unesco;damages;incident;heritage;unesco-listed;resulted,#eab308
command_and_control,Command And Control,command and control|command_and_control,depot;ammunition;hit;uav;donetsk;points;enemy;posts,#06b6d4
uav,Uav,uav,max;uavs;lostarmour;reconnaissance;dva;majors;unmanned;aerial,#ef4444
government,Government,government,unn;news;residence;leader;kherson;tass;starlink;unit,#f59e0b
empty_terrain,Empty Terrain,empty terrain|empty_terrain,debris;lviv;karymat;found;located;moldova;known;oreshnik,#38bdf8
multiple,Multiple,multiple,locations;air;uavs;ballistic;launched;recorded;out;falling,#f59e0b
tactical_logistics,Tactical Logistics,tactical logistics|tactical_logistics,deepstateua;north;personnel;korean;border;soldiers;zaporizhzhia;kor,#eab308
drone,Drone,drone,mark;bersaglio;maritime;aerial;frankenburg;technologies;ground;anti-tank,#94a3b8
diplomatic,Diplomatic,diplomatic,embassy;qatari;defense;cooperation;president;azerbaijan;noel;damaged,#f59e0b
technology,Technology,technology,belarus;repeaters;zelensky;helsing;platform;president;these;three,#94a3b8
military,Military,military,air;locations;news;zaporizhzhia;training;belgorod;overnight;enemy,#f59e0b
vehicles,Vehicles,vehicles,kherson;central;non;fake;vehicle;fire;paratroopers;several,#fb7185
training,Training,training,exercises;nemesis;conducted;vehicles;operators;estonia;brigade;border,#94a3b8
